points,constructorId,raceId,year,name,driverId,grid,positionOrder,team_grid,skill_diff
52.0,5,982,2017,Singapore Grand Prix,832.0,10.0,17.0,11.5,-1.5
37.0,210,982,2017,Singapore Grand Prix,825.0,16.0,8.0,15.5,0.5
124.0,10,982,2017,Singapore Grand Prix,815.0,12.0,16.0,13.0,-1.0
373.0,6,982,2017,Singapore Grand Prix,20.0,1.0,3.0,2.5,-1.5
373.0,6,982,2017,Singapore Grand Prix,8.0,4.0,1.0,2.5,1.5
475.0,131,982,2017,Singapore Grand Prix,1.0,5.0,20.0,5.5,-0.5
475.0,131,982,2017,Singapore Grand Prix,822.0,6.0,18.0,5.5,0.5
124.0,10,982,2017,Singapore Grand Prix,839.0,14.0,11.0,13.0,1.0
230.0,9,982,2017,Singapore Grand Prix,830.0,2.0,2.0,2.5,-0.5
59.0,3,982,2017,Singapore Grand Prix,840.0,18.0,13.0,17.5,0.5
59.0,3,982,2017,Singapore Grand Prix,13.0,17.0,10.0,17.5,-0.5
230.0,9,982,2017,Singapore Grand Prix,817.0,3.0,19.0,2.5,0.5
52.0,5,983,2017,Malaysian Grand Prix,842.0,15.0,7.0,14.5,0.5
37.0,210,983,2017,Malaysian Grand Prix,825.0,17.0,9.0,16.5,0.5
23.0,1,983,2017,Malaysian Grand Prix,4.0,10.0,10.0,8.5,1.5
23.0,1,983,2017,Malaysian Grand Prix,838.0,7.0,14.0,8.5,-1.5
5.0,15,983,2017,Malaysian Grand Prix,828.0,19.0,3.0,18.5,0.5
5.0,15,983,2017,Malaysian Grand Prix,836.0,18.0,4.0,18.5,-0.5
42.0,4,983,2017,Malaysian Grand Prix,807.0,8.0,5.0,10.0,-2.0
42.0,4,983,2017,Malaysian Grand Prix,835.0,12.0,6.0,10.0,2.0
52.0,5,983,2017,Malaysian Grand Prix,832.0,14.0,2.0,14.5,-0.5
37.0,210,983,2017,Malaysian Grand Prix,154.0,16.0,8.0,16.5,-0.5
133.0,10,983,2017,Malaysian Grand Prix,839.0,6.0,11.0,7.5,-1.5
65.0,3,983,2017,Malaysian Grand Prix,13.0,11.0,12.0,12.0,-1.0
65.0,3,983,2017,Malaysian Grand Prix,840.0,13.0,13.0,12.0,1.0
270.0,9,983,2017,Malaysian Grand Prix,817.0,4.0,18.0,3.5,0.5
270.0,9,983,2017,Malaysian Grand Prix,830.0,3.0,20.0,3.5,-0.5
503.0,131,983,2017,Malaysian Grand Prix,822.0,5.0,16.0,3.0,2.0
503.0,131,983,2017,Malaysian Grand Prix,1.0,1.0,19.0,3.0,-2.0
385.0,6,983,2017,Malaysian Grand Prix,8.0,20.0,1.0,10.0,-10.0
385.0,6,983,2017,Malaysian Grand Prix,20.0,20.0,17.0,10.0,10.0
133.0,10,983,2017,Malaysian Grand Prix,815.0,9.0,15.0,7.5,1.5
42.0,4,984,2017,Japanese Grand Prix,835.0,18.0,9.0,14.5,3.5
42.0,4,984,2017,Japanese Grand Prix,807.0,11.0,4.0,14.5,-3.5
5.0,15,984,2017,Japanese Grand Prix,836.0,17.0,6.0,16.5,0.5
52.0,5,984,2017,Japanese Grand Prix,832.0,19.0,1.0,16.5,2.5
23.0,1,984,2017,Japanese Grand Prix,4.0,20.0,10.0,14.5,5.5
23.0,1,984,2017,Japanese Grand Prix,838.0,9.0,7.0,14.5,-5.5
43.0,210,984,2017,Japanese Grand Prix,825.0,12.0,13.0,12.5,-0.5
5.0,15,984,2017,Japanese Grand Prix,828.0,16.0,3.0,16.5,-0.5
52.0,5,984,2017,Japanese Grand Prix,842.0,14.0,8.0,16.5,-2.5
43.0,210,984,2017,Japanese Grand Prix,154.0,13.0,12.0,12.5,0.5
147.0,10,984,2017,Japanese Grand Prix,839.0,5.0,15.0,6.0,-1.0
395.0,6,984,2017,Japanese Grand Prix,8.0,10.0,16.0,6.0,4.0
395.0,6,984,2017,Japanese Grand Prix,20.0,2.0,2.0,6.0,-4.0
540.0,131,984,2017,Japanese Grand Prix,1.0,1.0,20.0,3.5,-2.5
540.0,131,984,2017,Japanese Grand Prix,822.0,6.0,17.0,3.5,2.5
147.0,10,984,2017,Japanese Grand Prix,815.0,7.0,14.0,6.0,1.0
303.0,9,984,2017,Japanese Grand Prix,817.0,3.0,18.0,3.5,-0.5
66.0,3,984,2017,Japanese Grand Prix,13.0,8.0,11.0,11.5,-3.5
66.0,3,984,2017,Japanese Grand Prix,840.0,15.0,5.0,11.5,3.5
303.0,9,984,2017,Japanese Grand Prix,830.0,4.0,19.0,3.5,0.5
43.0,210,985,2017,United States Grand Prix,154.0,12.0,7.0,14.5,-2.5
23.0,1,985,2017,United States Grand Prix,4.0,8.0,4.0,14.0,-6.0
23.0,1,985,2017,United States Grand Prix,838.0,20.0,9.0,14.0,6.0
5.0,15,985,2017,United States Grand Prix,836.0,14.0,2.0,13.5,0.5
5.0,15,985,2017,United States Grand Prix,828.0,13.0,6.0,13.5,-0.5
48.0,4,985,2017,United States Grand Prix,807.0,18.0,1.0,12.5,5.5
